x y groupName
0.8233 0.5288 cluster_2
-1.2893 -2.3160 cluster_0
1.6706 4.3464 cluster_2
-1.8209 -2.2695 cluster_0
-2.0984 -0.7610 cluster_0
2.7427 2.0549 cluster_2
-1.5603 -0.5009 cluster_0
-2.7344 1.0242 cluster_1
1.4848 0.1584 cluster_2
-0.5791 -0.8576 cluster_0
-1.3976 2.4027 cluster_1
-2.9207 -0.9745 cluster_0
1.5607 -0.5840 cluster_2
-0.0337 -0.1533 cluster_0
-1.3569 -1.1056 cluster_0
0.6894 -3.7565 cluster_0
2.8662 1.5056 cluster_2
0.6855 1.8327 cluster_2
2.3690 0.5085 cluster_2
-2.1754 1.0352 cluster_1
-2.5228 3.0925 cluster_1
0.5543 0.8239 cluster_2
-2.3228 1.9477 cluster_1
-2.0576 -0.7470 cluster_0
-0.5875 1.1738 cluster_1
3.4085 0.2733 cluster_2
0.2350 0.6591 cluster_2
2.1431 -0.8358 cluster_2
2.9011 1.3784 cluster_2
-0.1566 0.8055 cluster_1
-0.3482 -4.2404 cluster_0
-1.0902 0.7388 cluster_1
1.4678 0.2360 cluster_2
-1.3337 -2.0133 cluster_0
-2.6303 0.6427 cluster_1
-2.7613 -0.1679 cluster_1
0.7129 3.3383 cluster_1
0.3856 -1.3587 cluster_0
-0.5787 -0.7177 cluster_0
-1.8838 0.6563 cluster_1
2.4654 0.2474 cluster_2
-1.5611 0.0523 cluster_1
-0.0493 -0.4676 cluster_0
-0.0909 -3.5699 cluster_0
-1.2247 -2.7944 cluster_0
0.1699 -0.2829 cluster_2
-3.0380 -2.3719 cluster_0
-2.0799 -0.3399 cluster_1
-0.0033 -0.1747 cluster_0
-0.5900 1.2654 cluster_1
1.4756 -1.2088 cluster_2
1.2948 2.2441 cluster_2
1.5238 -3.0341 cluster_0
3.3291 1.9928 cluster_2
-1.3733 -0.0858 cluster_1
-2.0314 -1.3574 cluster_0
1.6058 0.7379 cluster_2
0.5094 -2.5847 cluster_0
-1.3585 1.3775 cluster_1
-2.6488 1.1285 cluster_1
3.1286 -1.4427 cluster_2
-3.8419 0.0869 cluster_1
-0.4693 4.0863 cluster_1
-1.1030 -4.9146 cluster_0
0.3130 0.3089 cluster_2
3.5294 -0.6060 cluster_2
1.0236 0.8312 cluster_2
-2.6997 -1.4492 cluster_0
-0.7277 -0.4130 cluster_0
0.3575 -1.0622 cluster_0
-4.3190 1.4771 cluster_1
-1.9556 -3.1398 cluster_0
0.4528 -3.2861 cluster_0
-1.0372 -0.9199 cluster_0
2.1176 3.7176 cluster_2
-3.3826 0.8445 cluster_1
-0.5951 -0.3954 cluster_0
-4.2729 -0.8681 cluster_0
-0.4811 0.4813 cluster_1
-3.8049 -0.1448 cluster_1
-3.5592 0.0689 cluster_1
1.7945 2.2042 cluster_2
-1.1437 -1.9707 cluster_0
-2.4558 3.5443 cluster_1
1.6586 -0.2111 cluster_2
0.9326 -3.4812 cluster_0
-1.2329 1.1137 cluster_1
-2.2624 0.7582 cluster_1
2.3252 -0.7253 cluster_2
-0.5833 -0.7259 cluster_0
-2.2312 2.3638 cluster_1
-1.0460 -1.2904 cluster_0
0.3934 -0.3057 cluster_2
0.4023 -1.1216 cluster_0
-0.1704 0.9437 cluster_1
0.1998 2.5996 cluster_1
2.0810 1.3205 cluster_2
1.2114 -3.3253 cluster_0
-1.5119 1.1993 cluster_1
-2.1052 -1.2430 cluster_0
-3.1090 -3.2806 cluster_0
3.5732 -1.0739 cluster_2
-1.5311 0.7236 cluster_1
-0.8168 1.4732 cluster_1
-2.4903 1.4373 cluster_1
-1.0373 3.7881 cluster_1
0.3128 -1.5357 cluster_0
0.6226 -1.1261 cluster_0
0.6555 0.1167 cluster_2
-1.5272 4.8347 cluster_1
4.1242 0.4745 cluster_2
-4.6053 -0.8662 cluster_0
-1.4116 4.7688 cluster_1
-2.3714 -4.1853 cluster_0
2.5712 -3.5122 cluster_0
-2.5634 -0.0990 cluster_1
2.8637 1.3461 cluster_2
-2.5493 -3.1033 cluster_0
-4.5391 -2.4542 cluster_0
0.6478 -3.9335 cluster_0
2.2745 -0.4372 cluster_2
-1.9175 0.4590 cluster_1
0.3776 1.6142 cluster_1
-1.3328 0.8815 cluster_1
-0.5390 1.3599 cluster_1
-1.3457 -0.4906 cluster_0
0.5595 -0.5551 cluster_2
-1.9337 -1.7577 cluster_0
1.6670 -0.5917 cluster_2
1.7424 2.4228 cluster_2
-2.0134 3.5411 cluster_1
-1.5240 -1.7878 cluster_0
3.4899 2.4525 cluster_2
2.3269 0.2992 cluster_2
-1.5916 -0.3386 cluster_0
-2.6613 0.2596 cluster_1
1.0498 -0.6301 cluster_2
-0.0890 0.3939 cluster_1
0.5734 -3.4022 cluster_0
-1.6054 0.1661 cluster_1
3.1409 1.2622 cluster_2
-4.6214 0.7080 cluster_1
-0.9621 -1.2229 cluster_0
-1.8307 1.4480 cluster_1
-1.1552 -1.4562 cluster_0
0.1868 -0.8364 cluster_0
-3.2942 0.5373 cluster_1
-1.6241 -0.0434 cluster_1
0.7655 -0.0190 cluster_2
-0.1700 3.4165 cluster_1
0.5423 -1.2734 cluster_0
-1.9502 -0.4781 cluster_0
2.8309 -2.0032 cluster_2
2.2804 0.6811 cluster_2
0.7745 1.0048 cluster_2
0.7840 -1.9522 cluster_0
-4.6583 -0.8711 cluster_0
3.1768 2.7058 cluster_2
-1.7611 -1.4276 cluster_0
-1.7179 0.0967 cluster_1
1.6197 2.2102 cluster_2
-0.7836 0.5521 cluster_1
-1.7831 2.3137 cluster_1
-3.8275 2.1575 cluster_1
2.7743 -2.2278 cluster_2
2.5309 -1.7059 cluster_2
-0.8694 -1.5106 cluster_0
-2.8751 -0.3785 cluster_1
-1.4211 -1.2087 cluster_0
-2.8324 1.9263 cluster_1
2.4332 3.2656 cluster_2
-1.3110 0.8377 cluster_1
-0.2098 -1.7750 cluster_0
0.4575 -3.5703 cluster_0
-0.5400 1.7858 cluster_1
-1.6449 0.2903 cluster_1
0.1969 0.0172 cluster_2
0.3882 -2.9684 cluster_0
-0.9143 -0.2767 cluster_0
-3.3051 -1.2169 cluster_0
0.9406 0.4999 cluster_2
1.2886 2.6278 cluster_2
0.7636 1.5062 cluster_2
-0.9909 1.5375 cluster_1
1.0443 0.3533 cluster_2
0.9533 0.3208 cluster_2
1.9880 1.5418 cluster_2
0.7365 1.3075 cluster_2
0.4147 0.1926 cluster_2
-2.0958 -0.4647 cluster_0
0.9642 -1.2878 cluster_2
-1.5613 -4.0241 cluster_0
3.0896 -1.9597 cluster_2
2.1208 -2.0081 cluster_2
-4.4598 0.4304 cluster_1
-2.2153 0.2461 cluster_1
2.2934 -1.3354 cluster_2
2.2330 -1.1120 cluster_2
4.3037 -1.7860 cluster_2
0.5815 -3.3091 cluster_0
-0.3291 -0.6394 cluster_0
-1.9612 -1.7855 cluster_0
-3.6691 0.9456 cluster_1
0.6480 1.7417 cluster_2
-1.1976 1.0132 cluster_1
-3.1392 -2.1939 cluster_0
0.3719 2.4089 cluster_1
-0.9994 -5.0058 cluster_0
3.0841 1.9023 cluster_2
0.0181 2.7196 cluster_1
-0.3219 -2.1630 cluster_0
-2.4420 -2.0096 cluster_0
0.7709 -1.1791 cluster_0
-0.2326 1.1354 cluster_1
-2.6682 2.6925 cluster_1
3.9700 -2.5568 cluster_2
0.6793 -1.4024 cluster_0
0.5711 -0.6347 cluster_2
-2.3480 -1.4721 cluster_0
-2.5074 -3.2775 cluster_0
1.3351 -0.2728 cluster_2
-0.4463 -0.5395 cluster_0
-1.3621 2.9101 cluster_1
-2.4356 -2.4192 cluster_0
-0.8022 -2.4621 cluster_0
0.6714 -1.1687 cluster_0
-3.3328 1.2616 cluster_1
2.8750 -2.1176 cluster_2
-2.7926 -3.2974 cluster_0
